"Save","Зберегти",""
"Cancel","Скасувати",""
"Close","Закрити",""
"Search","Пошук",""
"Customer","Клієнт",""
"Supplier","Постачальник",""
"Company","Компанія",""
"Warehouse","Склад",""
"Currency","Валюта",""
"Settings","Налаштування",""
"Organization","Організація",""
"Accounting","Бухгалтерія",""
"Assets","Основні засоби",""
"Buying","Закупівлі",""
"Manufacturing","Виробництво",""
"Projects","Проєкти",""
"Quality","Якість",""
"Selling","Продажі",""
"Stock","Запаси",""
"Subcontracting","Субпідряд",""
"ERPNext Settings","Налаштування ERPNext",""
"Getting Started","Початок роботи",""
